Parameter Name,Value
General Information,
Sample name:,2762
Start of measurement:,03*09*2014 14:41:19
Stop of measurement:,17*09*2014 13:41:19
Duration of Measurements:,13 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,358
Empty soil sampling ring weight [g]:,193
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.6
Scale [g]:,0.06
Sensor Unit Information,
Busnumber:,1
Subaddress:,1
Serial number:,764
Sensor unit name:,MY-HYPROP-MK
Firmware Version:,NaN
Scale Information,
Serial number:,
Scale name:,
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,03*09*2014 14:41:19
Tension top Air Entry Point,15*09*2014 02:11:19
Tension bottom Air Entry Point,15*09*2014 23:11:19
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.374176638193399
Dry soil weight [g]:,399.85
Additional Soil Paramters,
Density [g/cm3]:,1.61
Porosity [-]:,0.39
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,PDI-variant of the bimodal constrained van Genuchten model 
Notes,
texture,
plot,
depth,
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C]
10*09*2014 07:11:19,144.15,255.6,20.01
10*09*2014 07:41:19,145.34,258.85,19.98
10*09*2014 08:11:19,146.9,262.99,19.94
10*09*2014 08:41:19,148.29,266.35,19.91
10*09*2014 09:11:19,149.04,269.71,19.96
10*09*2014 09:41:19,150.51,273.66,20.01
10*09*2014 10:11:19,151.78,277.23,20.03
10*09*2014 10:41:19,153.27,280.59,20.04
10*09*2014 11:11:19,154.2,284.96,20.05
10*09*2014 11:41:19,156.01,288.29,20.06
10*09*2014 12:11:19,157.22,293.23,20.07
10*09*2014 12:41:19,158.62,297.99,20.09
10*09*2014 13:11:19,160.19,301.67,20.11
10*09*2014 13:41:19,162.06,306.94,20.12
10*09*2014 14:11:19,163.63,311.24,20.14
10*09*2014 14:41:19,165.11,315.69,20.14
10*09*2014 15:11:19,166.68,321.34,20.15
10*09*2014 15:41:19,167.54,326.34,20.22
10*09*2014 16:11:19,169.5,329.33,20.29
10*09*2014 16:41:19,171.34,337.15,20.3
10*09*2014 17:11:19,173.38,342.46,20.29
10*09*2014 17:41:19,175.01,349.39,20.3
10*09*2014 18:11:19,176.81,355.57,20.32
10*09*2014 18:41:19,179.02,362.5,20.35
10*09*2014 19:11:19,180.39,369.26,20.35
10*09*2014 19:41:19,182.86,375.39,20.36
10*09*2014 20:11:19,184.83,382.17,20.35
10*09*2014 20:41:19,186.8,389.14,20.35
10*09*2014 21:11:19,189.07,396.69,20.33
10*09*2014 21:41:19,191.06,404.98,20.3
10*09*2014 22:11:19,193.76,412.76,20.26
10*09*2014 22:41:19,195.77,421.29,20.21
10*09*2014 23:11:19,198.68,429.29,20.17
10*09*2014 23:41:19,200.54,436.71,20.12
11*09*2014 00:11:19,203.46,444.54,20.09
11*09*2014 00:41:19,206.12,452.79,20.06
11*09*2014 01:11:19,208.71,459.97,20.04
11*09*2014 01:41:19,211.33,468.21,20.01
11*09*2014 02:11:19,214.3,475.28,19.98
11*09*2014 02:41:19,217.18,484.18,19.95
11*09*2014 03:11:19,220.07,491.57,19.91
11*09*2014 03:41:19,222.84,497.97,19.87
11*09*2014 04:11:19,226.1,506.12,19.84
