Parameter Name,Value
General Information,
Sample name:,2763
Start of measurement:,03*09*2014 14:41:19
Stop of measurement:,17*09*2014 13:41:19
Duration of Measurements:,13 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,358
Empty soil sampling ring weight [g]:,193
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.6
Scale [g]:,0.06
Sensor Unit Information,
Busnumber:,2
Subaddress:,1
Serial number:,767
Sensor unit name:,MY-HYPROP-MK
Firmware Version:,NaN
Scale Information,
Serial number:,
Scale name:,
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,03*09*2014 14:41:19
Tension top Air Entry Point,15*09*2014 03:41:19
Tension bottom Air Entry Point,16*09*2014 00:11:19
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.364698785375879
Dry soil weight [g]:,378.2
Additional Soil Paramters,
Density [g/cm3]:,1.52
Porosity [-]:,0.43
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,PDI-variant of the bimodal constrained van Genuchten model 
Notes,
texture,
plot,
depth,
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C]
05*09*2014 14:41:19,54.65,58.35,22.5
05*09*2014 15:11:19,55.16,58.77,22.52
05*09*2014 15:41:19,55.64,59.02,22.51
05*09*2014 16:11:19,53.9,57.17,22.5
05*09*2014 16:41:19,56.05,59.49,22.56
05*09*2014 17:11:19,56.44,60.13,22.56
05*09*2014 17:41:19,56.9,60.52,22.56
05*09*2014 18:11:19,57.14,60.78,22.56
05*09*2014 18:41:19,57.63,61.25,22.55
05*09*2014 19:11:19,57.92,61.68,22.55
05*09*2014 19:41:19,58.19,61.92,22.54
05*09*2014 20:11:19,58.48,62.25,22.53
05*09*2014 20:41:19,58.67,62.43,22.52
05*09*2014 21:11:19,58.98,62.86,22.51
05*09*2014 21:41:19,59.29,63.13,22.49
05*09*2014 22:11:19,59.47,63.54,22.47
05*09*2014 22:41:19,59.77,63.75,22.45
05*09*2014 23:11:19,60,64.18,22.42
05*09*2014 23:41:19,60.3,64.52,22.4
06*09*2014 00:11:19,60.57,64.73,22.36
06*09*2014 00:41:19,60.78,65.07,22.34
06*09*2014 01:11:19,60.95,65.14,22.31
06*09*2014 01:41:19,61.14,65.63,22.29
06*09*2014 02:11:19,61.46,65.94,22.26
06*09*2014 02:41:19,61.79,66.22,22.24
06*09*2014 03:11:19,62,66.51,22.22
06*09*2014 03:41:19,62.09,66.82,22.2
06*09*2014 04:11:19,62.4,67.11,22.18
06*09*2014 04:41:19,62.43,67.33,22.17
06*09*2014 05:11:19,62.81,67.69,22.15
06*09*2014 05:41:19,63.04,67.89,22.15
06*09*2014 06:11:19,63.18,68.18,22.13
06*09*2014 06:41:19,63.44,68.43,22.12
06*09*2014 07:11:19,63.66,68.69,22.1
06*09*2014 07:41:19,63.87,68.97,22.09
06*09*2014 08:11:19,64.09,69.16,22.07
06*09*2014 08:41:19,64.26,69.55,22.06
06*09*2014 09:11:19,64.41,69.65,22.04
06*09*2014 09:41:19,64.63,70.11,22.03
06*09*2014 10:11:19,64.83,70.31,22.02
06*09*2014 10:41:19,64.98,70.74,22.01
06*09*2014 11:11:19,64.98,70.9,22
06*09*2014 11:41:19,65.25,71.1,22.01
06*09*2014 12:11:19,65.64,71.29,22.01
06*09*2014 12:41:19,65.71,71.11,22.02
06*09*2014 13:11:19,66.06,71.77,22.03
06*09*2014 13:41:19,66.24,71.89,22.05
06*09*2014 14:11:19,66.43,72.22,22.07
06*09*2014 14:41:19,66.67,72.54,22.08
06*09*2014 15:11:19,66.76,72.8,22.09
06*09*2014 15:41:19,66.99,73.3,22.1
06*09*2014 16:11:19,67.21,73.7,22.12
06*09*2014 16:41:19,67.43,74.09,22.13
06*09*2014 17:11:19,67.67,74.19,22.15
06*09*2014 17:41:19,67.82,74.71,22.17
06*09*2014 18:11:19,67.96,75.19,22.21
06*09*2014 18:41:19,68.25,75.59,22.25
06*09*2014 19:11:19,68.38,75.93,22.26
