Parameter Name,Value
General Information,
Sample name:,44
Start of measurement:,19*03*2015 14:15:57
Stop of measurement:,07*04*2015 08:35:57
Duration of Measurements:,18 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,358
Empty soil sampling ring weight [g]:,185.06
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.6
Scale [g]:,0.06
Sensor Unit Information,
Busnumber:,7
Subaddress:,1
Serial number:,760
Sensor unit name:,MY-HYPROP-MK
Firmware Version:,NaN
Scale Information,
Serial number:,
Scale name:,
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,19*03*2015 14:15:57
Tension top Air Entry Point,01*04*2015 01:25:57
Tension bottom Air Entry Point,01*04*2015 14:15:57
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.400321255726029
Dry soil weight [g]:,333.2
Additional Soil Paramters,
Density [g/cm3]:,1.34
Porosity [-]:,0.49
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,PDI-variant of the bimodal constrained van Genuchten model 
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C]
20*03*2015 15:35:57,28.58,30.65,16.76
20*03*2015 15:45:57,28.64,30.71,16.76
20*03*2015 15:55:57,28.75,30.82,16.76
20*03*2015 16:05:57,28.83,30.9,16.73
20*03*2015 16:15:57,28.92,31.02,16.76
20*03*2015 16:25:57,29,31.09,16.76
20*03*2015 16:35:57,28.19,30.25,16.69
20*03*2015 16:45:57,28.54,30.63,16.8
20*03*2015 16:55:57,28.89,30.98,16.83
20*03*2015 17:05:57,29.09,31.15,16.83
20*03*2015 17:15:57,29.26,31.32,16.86
20*03*2015 17:25:57,29.37,31.44,16.86
20*03*2015 17:35:57,29.44,31.53,16.86
20*03*2015 17:45:57,29.52,31.59,16.83
20*03*2015 17:55:57,29.58,31.72,16.86
20*03*2015 18:05:57,29.64,31.72,16.83
20*03*2015 18:15:57,29.75,31.82,16.83
20*03*2015 18:25:57,29.82,31.87,16.83
20*03*2015 18:35:57,29.9,31.96,16.83
20*03*2015 18:45:57,29.98,32.03,16.83
20*03*2015 18:55:57,30.08,32.11,16.83
20*03*2015 19:05:57,30.14,32.19,16.83
20*03*2015 19:15:57,30.21,32.27,16.8
20*03*2015 19:25:57,30.31,32.38,16.76
20*03*2015 19:35:57,30.4,32.47,16.76
20*03*2015 19:45:57,30.46,32.52,16.76
20*03*2015 19:55:57,30.59,32.62,16.73
20*03*2015 20:05:57,30.5,32.55,16.73
20*03*2015 20:15:57,30.69,32.74,16.69
20*03*2015 20:25:57,30.72,32.78,16.69
20*03*2015 20:35:57,30.82,32.88,16.69
20*03*2015 20:45:57,30.92,32.97,16.66
20*03*2015 20:55:57,31,33.05,16.66
20*03*2015 21:05:57,31.08,33.11,16.62
20*03*2015 21:15:57,31.15,33.19,16.62
20*03*2015 21:25:57,31.24,33.27,16.62
20*03*2015 21:35:57,31.31,33.34,16.56
20*03*2015 21:45:57,31.38,33.43,16.56
20*03*2015 21:55:57,31.46,33.49,16.52
20*03*2015 22:05:57,31.53,33.57,16.52
20*03*2015 22:15:57,31.56,33.59,16.49
20*03*2015 22:25:57,31.62,33.66,16.45
20*03*2015 22:35:57,31.73,33.77,16.45
20*03*2015 22:45:57,31.82,33.87,16.45
20*03*2015 22:55:57,31.92,33.95,16.42
20*03*2015 23:05:57,32.02,34.04,16.42
20*03*2015 23:15:57,32.08,34.12,16.38
20*03*2015 23:25:57,32.15,34.19,16.35
20*03*2015 23:35:57,32.21,34.25,16.35
20*03*2015 23:45:57,32.28,34.31,16.35
20*03*2015 23:55:57,32.33,34.37,16.32
21*03*2015 00:05:57,32.41,34.44,16.32
21*03*2015 00:15:57,32.47,34.5,16.28
21*03*2015 00:25:57,32.55,34.58,16.25
21*03*2015 00:35:57,32.61,34.63,16.25
21*03*2015 00:45:57,32.68,34.72,16.25
21*03*2015 00:55:57,32.74,34.76,16.21
21*03*2015 01:05:57,32.83,34.84,16.21
21*03*2015 01:15:57,32.89,34.91,16.18
21*03*2015 01:25:57,32.96,34.99,16.15
21*03*2015 01:35:57,33.02,35.05,16.15
21*03*2015 01:45:57,33.08,35.11,16.15
21*03*2015 01:55:57,33.08,35.1,16.11
21*03*2015 02:05:57,33.21,35.23,16.08
21*03*2015 02:15:57,33.26,35.27,16.08
21*03*2015 02:25:57,33.37,35.38,16.04
21*03*2015 02:35:57,33.45,35.45,16.04
21*03*2015 02:45:57,33.49,35.5,16.01
21*03*2015 02:55:57,33.51,35.53,15.97
21*03*2015 03:05:57,33.55,35.55,15.94
21*03*2015 03:15:57,33.62,35.63,15.94
21*03*2015 03:25:57,33.67,35.68,15.91
21*03*2015 03:35:57,33.71,35.71,15.91
21*03*2015 03:45:57,33.77,35.78,15.91
21*03*2015 03:55:57,33.81,35.82,15.87
21*03*2015 04:05:57,33.89,35.89,15.87
21*03*2015 04:15:57,33.95,35.95,15.87
21*03*2015 04:25:57,33.99,36,15.87
21*03*2015 04:35:57,34.06,36.05,15.84
21*03*2015 04:45:57,34.12,36.12,15.84
21*03*2015 04:55:57,34.17,36.17,15.84
21*03*2015 05:05:57,34.22,36.22,15.8
21*03*2015 05:15:57,34.29,36.27,15.8
21*03*2015 05:25:57,34.32,36.31,15.8
21*03*2015 05:35:57,34.14,36.12,-99.9
21*03*2015 05:45:57,34.2,36.19,-99.9
21*03*2015 05:55:57,34.23,36.21,-99.9
21*03*2015 06:05:57,34.29,36.28,-99.9
21*03*2015 06:15:57,34.34,36.32,-99.9
21*03*2015 06:25:57,34.41,36.38,-99.9
21*03*2015 06:35:57,34.46,36.44,-99.9
21*03*2015 06:45:57,34.48,36.47,-99.9
21*03*2015 06:55:57,34.49,36.48,-99.9
21*03*2015 07:05:57,34.51,36.5,-99.9
21*03*2015 07:15:57,34.55,36.52,-99.9
21*03*2015 07:25:57,34.55,36.51,-99.9
21*03*2015 07:35:57,34.62,36.6,-99.9
21*03*2015 07:45:57,34.67,36.62,-99.9
21*03*2015 07:55:57,34.74,36.7,-99.9
21*03*2015 08:05:57,34.72,36.69,-99.9
21*03*2015 08:15:57,34.8,36.78,-99.9
21*03*2015 08:25:57,34.83,36.81,-99.9
21*03*2015 08:35:57,34.87,36.84,-99.9
21*03*2015 08:45:57,34.93,36.88,-99.9
21*03*2015 08:55:57,34.95,36.91,-99.9
21*03*2015 09:05:57,35.02,36.98,-99.9
21*03*2015 09:15:57,35.08,37.04,-99.9
21*03*2015 09:25:57,35.14,37.08,-99.9
21*03*2015 09:35:57,35.21,37.16,-99.9
21*03*2015 09:45:57,35.23,37.17,-99.9
21*03*2015 09:55:57,35.28,37.24,-99.9
21*03*2015 10:05:57,35.31,37.25,-99.9
21*03*2015 10:15:57,35.35,37.3,-99.9
21*03*2015 10:25:57,35.39,37.32,-99.9
21*03*2015 10:35:57,35.44,37.38,-99.9
21*03*2015 10:45:57,35.49,37.42,-99.9
21*03*2015 10:55:57,35.57,37.5,-99.9
21*03*2015 11:05:57,35.6,37.53,-99.9
21*03*2015 11:15:57,35.67,37.6,-99.9
21*03*2015 11:25:57,35.71,37.64,-99.9
21*03*2015 11:35:57,35.72,37.64,-99.9
21*03*2015 11:45:57,35.79,37.72,-99.9
21*03*2015 11:55:57,35.86,37.77,-99.9
21*03*2015 12:05:57,35.94,37.85,-99.9
21*03*2015 12:15:57,35.99,37.9,-99.9
21*03*2015 12:25:57,36,37.92,-99.9
21*03*2015 12:35:57,36.07,37.98,-99.9
21*03*2015 12:45:57,36.16,38.06,-99.9
21*03*2015 12:55:57,36.22,38.12,-99.9
21*03*2015 13:05:57,36.21,38.11,-99.9
21*03*2015 13:15:57,36.29,38.18,-99.9
21*03*2015 13:25:57,36.35,38.24,-99.9
21*03*2015 13:35:57,36.4,38.3,-99.9
21*03*2015 13:45:57,36.43,38.33,-99.9
21*03*2015 13:55:57,36.5,38.39,-99.9
21*03*2015 14:05:57,36.57,38.45,-99.9
21*03*2015 14:15:57,36.63,38.5,-99.9
21*03*2015 14:25:57,36.67,38.56,-99.9
21*03*2015 14:35:57,36.75,38.63,-99.9
21*03*2015 14:45:57,36.76,38.64,-99.9
21*03*2015 14:55:57,36.82,38.69,-99.9
21*03*2015 15:05:57,36.89,38.77,-99.9
21*03*2015 15:15:57,36.94,38.81,-99.9
21*03*2015 15:25:57,36.97,38.85,-99.9
21*03*2015 15:35:57,37.03,38.9,-99.9
21*03*2015 15:45:57,37.09,38.95,-99.9
21*03*2015 15:55:57,37.12,38.98,-99.9
21*03*2015 16:05:57,37.16,39.02,-99.9
21*03*2015 16:15:57,37.2,39.06,-99.9
21*03*2015 16:25:57,37.23,39.09,-99.9
21*03*2015 16:35:57,37.27,39.12,-99.9
21*03*2015 16:45:57,37.3,39.15,-99.9
21*03*2015 16:55:57,37.35,39.2,-99.9
21*03*2015 17:05:57,37.4,39.26,-99.9
21*03*2015 17:15:57,37.48,39.32,-99.9
21*03*2015 17:25:57,37.53,39.37,-99.9
21*03*2015 17:35:57,37.55,39.39,-99.9
21*03*2015 17:45:57,37.6,39.43,-99.9
21*03*2015 17:55:57,37.68,39.51,-99.9
21*03*2015 18:05:57,37.72,39.54,-99.9
21*03*2015 18:15:57,37.75,39.58,-99.9
21*03*2015 18:25:57,37.78,39.61,-99.9
21*03*2015 18:35:57,37.85,39.65,-99.9
21*03*2015 18:45:57,37.89,39.68,-99.9
21*03*2015 18:55:57,37.9,39.72,-99.9
21*03*2015 19:05:57,37.96,39.78,-99.9
21*03*2015 19:15:57,37.99,39.81,-99.9
21*03*2015 19:25:57,38.06,39.87,-99.9
21*03*2015 19:35:57,38.08,39.9,-99.9
21*03*2015 19:45:57,38.14,39.96,-99.9
21*03*2015 19:55:57,38.2,39.98,-99.9
21*03*2015 20:05:57,38.24,40.05,-99.9
21*03*2015 20:15:57,38.33,40.12,-99.9
21*03*2015 20:25:57,38.35,40.15,-99.9
21*03*2015 20:35:57,38.38,40.18,-99.9
21*03*2015 20:45:57,38.45,40.25,-99.9
21*03*2015 20:55:57,38.48,40.27,-99.9
21*03*2015 21:05:57,38.53,40.31,-99.9
21*03*2015 21:15:57,38.58,40.38,-99.9
21*03*2015 21:25:57,38.66,40.43,-99.9
21*03*2015 21:35:57,38.67,40.46,-99.9
21*03*2015 21:45:57,38.72,40.5,-99.9
21*03*2015 21:55:57,38.75,40.53,-99.9
21*03*2015 22:05:57,38.79,40.57,-99.9
21*03*2015 22:15:57,38.84,40.63,-99.9
21*03*2015 22:25:57,38.89,40.65,-99.9
21*03*2015 22:35:57,38.92,40.69,-99.9
21*03*2015 22:45:57,38.95,40.73,-99.9
21*03*2015 22:55:57,39.01,40.78,-99.9
21*03*2015 23:05:57,39.04,40.82,-99.9
21*03*2015 23:15:57,39.08,40.87,-99.9
21*03*2015 23:25:57,39.12,40.89,-99.9
21*03*2015 23:35:57,39.15,40.92,-99.9
21*03*2015 23:45:57,39.2,40.96,-99.9
21*03*2015 23:55:57,39.22,41.01,-99.9
22*03*2015 00:05:57,39.26,41.05,-99.9
22*03*2015 00:15:57,39.3,41.09,-99.9
22*03*2015 00:25:57,39.33,41.12,-99.9
22*03*2015 00:35:57,39.38,41.16,-99.9
22*03*2015 00:45:57,39.45,41.22,-99.9
22*03*2015 00:55:57,39.46,41.24,-99.9
22*03*2015 01:05:57,39.52,41.29,-99.9
22*03*2015 01:15:57,39.55,41.33,-99.9
22*03*2015 01:25:57,39.6,41.38,-99.9
22*03*2015 01:35:57,39.65,41.45,-99.9
22*03*2015 01:45:57,39.67,41.48,-99.9
